PeakID (cmd=annotatePeaks.pl results/filtered_reproducible_peaks.bed mm10 -gtf results/m39_gene_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-403	chr1	153940822	153940990	+	1	NA	intron (ENSMUST00000190485.2, intron 3 of 3)	lncRNA-intron (ENSMUST00000185465.7, intron 2 of 2)	15039	ENSMUST00000158044.4	ENSMUSG00000088669	ENSMUST00000158044			Gm25336			snoRNA
chr1-880	chr1	186317929	186318097	+	1	NA	Intergenic	Intergenic	-1509	ENSMUST00000242647.1	ENSMUSG00000119954	ENSMUST00000243368			Gm35546			lncRNA
chr3-289	chr3	7438344	7438512	+	1	NA	intron (ENSMUST00000028999.12, intron 1 of 2)	protein_coding-intron (ENSMUST00000028999.12, intron 1 of 2)	6698	ENSMUST00000028999.12	ENSMUSG00000027499	ENSMUST00000192468			Pkia			protein_coding
chr3-246	chr3	55039100	55039268	+	1	NA	intron (ENSMUST00000118118.8, intron 8 of 8)	protein_coding-intron (ENSMUST00000044116.14, intron 8 of 8)	-5576	ENSMUST00000052904.11	ENSMUSG00000048655	ENSMUST00000153009			Ccdc169			protein_coding
chr2-1315	chr2	68737464	68737629	+	1	NA	exon (ENSMUST00000192661.2, exon 1 of 1)	TEC-exon (ENSMUST00000192661.2, exon 1 of 1)	1199	ENSMUST00000192661.2	ENSMUSG00000103747	ENSMUST00000192661			Gm38236			TEC
chr2-107	chr2	126164513	126164681	+	1	NA	exon (ENSMUST00000040128.12, exon 28 of 28)	protein_coding-exon (ENSMUST00000040128.12, exon 28 of 28)	-53314	ENSMUST00020182495.1	ENSMUSG00002076287	ENSMUST00020182495			Gm56266			misc_RNA
chr6-602	chr6	84178819	84178961	+	1	NA	intron (ENSMUST00000204987.3, intron 52 of 55)	protein_coding-intron (ENSMUST00000081904.7, intron 51 of 54)	-8576	ENSMUST00000128965.2	ENSMUSG00000033788	ENSMUST00000168387			Dysf			protein_coding
chr17-9	chr17	67939824	67939992	+	1	NA	promoter-TSS (ENSMUST00000097290.4)	protein_coding-promoter-TSS (ENSMUST00000097290.4)	-190	ENSMUST00000097290.4	ENSMUSG00000073375	ENSMUST00000097290			Lrrc30			protein_coding
chr8-505	chr8	11718387	11718555	+	1	NA	intron (ENSMUST00000190741.2, intron 1 of 4)	protein_coding-intron (ENSMUST00000033906.11, intron 1 of 5)	-5867	ENSMUST00000191350.2	ENSMUSG00000031509	ENSMUST00000190741			Spaca7b			protein_coding
chr4-378	chr4	125759604	125759763	+	1	NA	Intergenic	Intergenic	33092	ENSMUST00000123368.8	ENSMUSG00000085562	ENSMUST00000123368			2610028E06Rik			lncRNA
chr18-110	chr18	25763482	25763650	+	1	NA	intron (ENSMUST00000225927.2, intron 2 of 5)	protein_coding-intron (ENSMUST00000025117.14, intron 2 of 12)	-32055	ENSMUST00020182188.1	ENSMUSG00002074964	ENSMUST00020182188			Gm54402			misc_RNA
chr6-189	chr6	4994563	4994731	+	1	NA	intron (ENSMUST00000177456.8, intron 1 of 17)	protein_coding-intron (ENSMUST00000035813.9, intron 2 of 15)	35664	ENSMUST00000180645.2	ENSMUSG00000097396	ENSMUST00000180645			Gm26556			TEC
chr15-42	chr15	77747318	77747486	+	1	NA	Intergenic	Intergenic	-21027	ENSMUST00000016771.13	ENSMUSG00000022443	ENSMUST00000124844			Myh9			protein_coding
chr2-1006	chr2	169864974	169865142	+	1	NA	intron (ENSMUST00000123300.3, intron 1 of 1)	protein_coding-intron (ENSMUST00000123300.3, intron 1 of 1)	-59951	ENSMUST00000194651.2	ENSMUSG00000103935	ENSMUST00000194482			AY702102			TEC
chr18-442	chr18	5809360	5809528	+	1	NA	Intergenic	Intergenic	78363	ENSMUST00000177030.2	ENSMUSG00000024238	ENSMUST00000025081			Zeb1			protein_coding
chr15-787	chr15	90976709	90976877	+	1	NA	Intergenic	Intergenic	18428	ENSMUST00000230093.2	ENSMUSG00000115952	ENSMUST00000230093			Gm18814			processed_pseudogene
chr19-148	chr19	45326805	45326973	+	1	NA	promoter-TSS (ENSMUST00000186981.4)	lncRNA-promoter-TSS (ENSMUST00000186981.4)	-15	ENSMUST00000235311.3	ENSMUSG00000100417	ENSMUST00000187795			Gm28578			lncRNA
chr6-869	chr6	135814429	135814597	+	1	NA	intron (ENSMUST00000111905.8, intron 6 of 14)	protein_coding-intron (ENSMUST00000053880.13, intron 5 of 13)	-37990	ENSMUST00000155455.3	ENSMUSG00000086614	ENSMUST00000155455			Gm14330			lncRNA
chr9-683	chr9	62974074	62974242	+	1	NA	Intergenic	Intergenic	16097	ENSMUST00000214934.2	ENSMUSG00000111144	ENSMUST00000214934			Gm48193			lncRNA
chr13-886	chr13	98801823	98801986	+	1	NA	Intergenic	Intergenic	-27986	ENSMUST00000050389.5	ENSMUSG00000046082	ENSMUST00000050389			Tmem174			protein_coding
chr1-169	chr1	74334878	74335046	+	1	NA	promoter-TSS (ENSMUST00000152603.8)	protein_coding-promoter-TSS (ENSMUST00000152603.8)	-108	ENSMUST00000152603.8	ENSMUSG00000006301	ENSMUST00000135384			Tmbim1			protein_coding
chr5-1265	chr5	122775153	122775308	+	1	NA	Intergenic	Intergenic	-6744	ENSMUST00000100737.10	ENSMUSG00000029468	ENSMUST00000031425			P2rx7			protein_coding
chr1-448	chr1	176662557	176662725	+	1	NA	promoter-TSS (ENSMUST00000194617.2)	processed_pseudogene-promoter-TSS (ENSMUST00000194617.2)	-649	ENSMUST00000194617.2	ENSMUSG00000103367	ENSMUST00000194617			Gm38158			processed_pseudogene
chr11-950	chr11	88793663	88793831	+	1	NA	Intergenic	Intergenic	-2200	ENSMUST00000083078.3	ENSMUSG00000065012	ENSMUST00000083078			Gm23507			snRNA
chr3-280	chr3	125131186	125131354	+	1	NA	Intergenic	Intergenic	-66455	ENSMUST00000173932.8	ENSMUSG00000027971	ENSMUST00000174648			Ndst4			protein_coding
chr8-983	chr8	126162481	126162649	+	1	NA	intron (ENSMUST00000212987.2, intron 18 of 22)	protein_coding-intron (ENSMUST00000108775.2, intron 16 of 20)	49521	ENSMUST00000245925.1	ENSMUSG00000120810	ENSMUST00000245925			Gm30713			lncRNA
chr15-514	chr15	94125345	94125513	+	1	NA	Intergenic	Intergenic	176710	ENSMUST00000155907.2	ENSMUSG00000022449	ENSMUST00000128797			Adamts20			protein_coding
chr13-621	chr13	34019744	34019912	+	1	NA	intron (ENSMUST00000110275.8, intron 6 of 7)	protein_coding-intron (ENSMUST00000110275.8, intron 6 of 7)	7563	ENSMUST00000145221.2	ENSMUSG00000069248	ENSMUST00000145221			Serpinb6e			protein_coding
chr10-369	chr10	63622281	63622449	+	1	NA	intron (ENSMUST00000105441.8, intron 5 of 17)	protein_coding-intron (ENSMUST00000075099.5, intron 4 of 16)	-34469	ENSMUST00000135474.2	ENSMUSG00000060843	ENSMUST00000135474			Ctnna3			protein_coding
chr1-917	chr1	45876883	45876959	+	1	NA	promoter-TSS (ENSMUST00000191371.2)	processed_pseudogene-promoter-TSS (ENSMUST00000191371.2)	-973	ENSMUST00000191371.2	ENSMUSG00000099850	ENSMUST00000191371			Gm28906			processed_pseudogene
chr19-519	chr19	3458236	3458398	+	1	NA	TTS (ENSMUST00000025840.16)	protein_coding-TTS (ENSMUST00000025840.16)	6130	ENSMUST00000025842.8	ENSMUSG00000024907	ENSMUST00000025842			Gal			protein_coding
chr1-729	chr1	90989998	90990155	+	1	NA	intron (ENSMUST00000189617.3, intron 1 of 24)	protein_coding-intron (ENSMUST00000068116.13, intron 1 of 12)	8768	ENSMUST00000189617.3	ENSMUSG00000026305	ENSMUST00000097650			Lrrfip1			protein_coding
chr3-255	chr3	122952249	122952417	+	1	NA	intron (ENSMUST00000198584.2, intron 1 of 3)	protein_coding-intron (ENSMUST00000106426.8, intron 1 of 4)	5788	ENSMUST00000197747.2	ENSMUSG00000105562	ENSMUST00000197747			Gm43287			TEC
chr3-978	chr3	67389851	67390019	+	1	NA	intron (ENSMUST00000054825.5, intron 4 of 5)	protein_coding-intron (ENSMUST00000054825.5, intron 4 of 5)	5624	ENSMUST00000195639.3	ENSMUSG00000103703	ENSMUST00000195639			Gm42568			TEC
chr7-97	chr7	81455865	81456033	+	1	NA	intron (ENSMUST00000208566.2, intron 1 of 2)	protein_coding-intron (ENSMUST00000026093.9, intron 3 of 7)	-5708	ENSMUST00000208114.2	ENSMUSG00000025103	ENSMUST00000208178			Btbd1			protein_coding
chr3-431	chr3	68586221	68586389	+	1	NA	Intergenic	Intergenic	-11672	ENSMUST00000029345.12	ENSMUSG00000027776	ENSMUST00000191910			Il12a			protein_coding
chr10-930	chr10	59745485	59745645	+	1	NA	Intergenic	Intergenic	30117	ENSMUST00000020309.7	ENSMUSG00000020109	ENSMUST00000146590			Dnajb12			protein_coding
chr17-433	chr17	36095001	36095150	+	1	NA	Intergenic	Intergenic	11733	ENSMUST00000172874.2	ENSMUSG00000092171	ENSMUST00000172874			4833427F10Rik			lncRNA
chr6-506	chr6	116058453	116058621	+	1	NA	intron (ENSMUST00000247091.1, intron 1 of 2)	protein_coding-intron (ENSMUST00000032222.16, intron 2 of 4)	7745	ENSMUST00000247091.1	ENSMUSG00000121085	ENSMUST00000247091			Gm56980			lncRNA
chr11-505	chr11	44903056	44903224	+	1	NA	Intergenic	Intergenic	100175	ENSMUST00000140822.2	ENSMUSG00000057098	ENSMUST00000149997			Ebf1			protein_coding
chr7-1010	chr7	129999915	130000069	+	1	NA	intron (ENSMUST00000216011.2, intron 12 of 12)	protein_coding-intron (ENSMUST00000033139.15, intron 11 of 11)	20528	ENSMUST00000208116.2	ENSMUSG00000030850	ENSMUST00000216011			Ate1			protein_coding
chr2-1591	chr2	151630666	151630821	+	1	NA	Intergenic	Intergenic	9422	ENSMUST00000119923.2	ENSMUSG00000083088	ENSMUST00000119923			Gm14153			processed_pseudogene
chr7-694	chr7	27321758	27321926	+	1	NA	intron (ENSMUST00000143499.8, intron 3 of 3)	protein_coding-intron (ENSMUST00000051356.12, intron 4 of 13)	-6108	ENSMUST00000143347.2	ENSMUSG00000004056	ENSMUST00000136962			Akt2			protein_coding
chr1-982	chr1	167011590	167011758	+	1	NA	Intergenic	Intergenic	2283	ENSMUST00000192124.2	ENSMUSG00000103333	ENSMUST00000192124			Gm37994			processed_pseudogene
chr9-52	chr9	67118598	67118766	+	1	NA	intron (ENSMUST00000240984.1, intron 1 of 1)	lncRNA-intron (ENSMUST00000215645.2, intron 2 of 2)	19793	ENSMUST00000240984.1	ENSMUSG00000111556	ENSMUST00000240984			Gm19299			lncRNA
chr10-835	chr10	78058979	78059147	+	1	NA	intron (ENSMUST00000000384.8, intron 3 of 22)	protein_coding-intron (ENSMUST00000000384.8, intron 3 of 22)	-13995	ENSMUST00000218124.2	ENSMUSG00000000374	ENSMUST00000217980			Trappc10			protein_coding
chr12-461	chr12	85573909	85574077	+	1	NA	Intergenic	Intergenic	-2379	ENSMUST00000220590.2	ENSMUSG00000114163	ENSMUST00000220590			Gm32296			lncRNA
chr15-166	chr15	32328949	32329108	+	1	NA	intron (ENSMUST00000228555.2, intron 1 of 7)	protein_coding-intron (ENSMUST00000067458.7, intron 1 of 22)	83779	ENSMUST00000227976.2	ENSMUSG00000022231	ENSMUST00000228442			Sema5a			protein_coding
chr17-708	chr17	63677127	63677295	+	1	NA	intron (ENSMUST00000169134.2, intron 2 of 5)	protein_coding-intron (ENSMUST00000024761.13, intron 5 of 8)	22545	ENSMUST00020181755.1	ENSMUSG00002074993	ENSMUST00020181755			Gm54893			miRNA
chr15-898	chr15	78518727	78518895	+	1	NA	Intergenic	Intergenic	23378	ENSMUST00000230583.2	ENSMUSG00000018008	ENSMUST00000229256			Cyth4			protein_coding
chr12-227	chr12	100965672	100965836	+	1	NA	intron (ENSMUST00000222768.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000068411.5, intron 3 of 29)	6523	ENSMUST00000222768.2	ENSMUSG00000113634	ENSMUST00000223029			Gm36756			lncRNA
chr4-40	chr4	5690540	5690708	+	1	NA	intron (ENSMUST00000141479.8, intron 2 of 3)	protein_coding-intron (ENSMUST00000054857.13, intron 1 of 2)	-2822	ENSMUST00000104204.2	ENSMUSG00000077392	ENSMUST00000104204			Gm24337			snoRNA
chr18-321	chr18	56872937	56873105	+	1	NA	exon (ENSMUST00000025486.9, exon 6 of 11)	protein_coding-exon (ENSMUST00000025486.9, exon 6 of 11)	11508	ENSMUST00000128651.2	ENSMUSG00000024590	ENSMUST00000128651			Lmnb1			protein_coding
chr5-443	chr5	120933795	120933963	+	1	NA	promoter-TSS (ENSMUST00000100785.7)	protein_coding-promoter-TSS (ENSMUST00000100785.7)	-284	ENSMUST00000100785.7	ENSMUSG00000066867	ENSMUST00000201172			Oas1e			protein_coding
chr13-220	chr13	36963665	36963825	+	1	NA	Intergenic	Intergenic	-44640	ENSMUST00000224960.2	ENSMUSG00000039114	ENSMUST00000122286			Nrn1			protein_coding
chr16-161	chr16	94522439	94522607	+	1	NA	promoter-TSS (ENSMUST00000232585.3)	lncRNA-promoter-TSS (ENSMUST00000232585.3)	-178	ENSMUST00000241185.1	ENSMUSG00000116641	ENSMUST00000243184			Gm41505			lncRNA
chr11-855	chr11	99207538	99207676	+	1	NA	intron (ENSMUST00000038004.3, intron 6 of 7)	protein_coding-intron (ENSMUST00000038004.3, intron 6 of 7)	6170	ENSMUST00000038004.3	ENSMUSG00000035831	ENSMUST00000038004			Krt25			protein_coding
chr16-700	chr16	37783744	37783862	+	1	NA	intron (ENSMUST00000061274.9, intron 3 of 9)	protein_coding-intron (ENSMUST00000061274.9, intron 3 of 9)	-16646	ENSMUST00000083254.3	ENSMUSG00000065188	ENSMUST00000083254			Gm25140			snRNA
chr5-569	chr5	65108855	65109023	+	1	NA	TTS (ENSMUST00000062315.7)	protein_coding-TTS (ENSMUST00000062315.7)	8451	ENSMUST00000062315.7	ENSMUSG00000051498	ENSMUST00000239485			Tlr6			protein_coding
chr12-801	chr12	110854948	110855116	+	1	NA	promoter-TSS (ENSMUST00000165978.3)	protein_coding-promoter-TSS (ENSMUST00000165978.3)	-441	ENSMUST00000222666.2	ENSMUSG00000113385	ENSMUST00000222666			Gm48405			TEC
chr19-98	chr19	53699497	53699628	+	1	NA	intron (ENSMUST00000164202.9, intron 1 of 13)	protein_coding-intron (ENSMUST00000164202.9, intron 1 of 13)	33825	ENSMUST00000164202.9	ENSMUSG00000043639	ENSMUST00000161856			Rbm20			protein_coding
chr11-169	chr11	117692616	117692784	+	1	NA	intron (ENSMUST00000106331.2, intron 2 of 5)	protein_coding-intron (ENSMUST00000106331.2, intron 2 of 5)	4214	ENSMUST00000106331.2	ENSMUSG00000025573	ENSMUST00000106331			6030468B19Rik			protein_coding
chr9-565	chr9	114978438	114978606	+	1	NA	intron (ENSMUST00000182413.2, intron 1 of 4)	protein_coding-intron (ENSMUST00000046627.6, intron 2 of 9)	28915	ENSMUST00000182413.2	ENSMUSG00000040875	ENSMUST00000182363			Osbpl10			protein_coding
chr1-454	chr1	181849428	181849596	+	1	NA	Intergenic	Intergenic	-1957	ENSMUST00000111024.10	ENSMUSG00000022995	ENSMUST00000192497			Enah			protein_coding
chr2-619	chr2	34536281	34536449	+	1	NA	Intergenic	Intergenic	3887	ENSMUST00000117516.2	ENSMUSG00000087635	ENSMUST00000117516			Gm13414			processed_pseudogene
chr2-1239	chr2	163465002	163465170	+	1	NA	TTS (ENSMUST00000017851.4)	protein_coding-TTS (ENSMUST00000017851.4)	11646	ENSMUST00000132904.2	ENSMUSG00000017679	ENSMUST00000132904			Ttpal			protein_coding
chr9-316	chr9	60217203	60217371	+	1	NA	intron (ENSMUST00000171654.8, intron 5 of 16)	protein_coding-intron (ENSMUST00000098660.10, intron 6 of 17)	-24138	ENSMUST00000214235.2	ENSMUSG00000111296	ENSMUST00000214235			2010001M07Rik			lncRNA
chr15-381	chr15	25637979	25638147	+	1	NA	exon (ENSMUST00000228949.2, exon 1 of 1)	TEC-exon (ENSMUST00000228949.2, exon 1 of 1)	3350	ENSMUST00000228949.2	ENSMUSG00000115252	ENSMUST00000228949			Gm48996			TEC
chr7-791	chr7	35441850	35441999	+	1	NA	intron (ENSMUST00000051377.15, intron 3 of 18)	protein_coding-intron (ENSMUST00000051377.15, intron 3 of 18)	11856	ENSMUST00000124116.2	ENSMUSG00000043671	ENSMUST00000051377			Dpy19l3			protein_coding
chr6-962	chr6	91536522	91536678	+	1	NA	Intergenic	Intergenic	-35140	ENSMUST00000206407.2	ENSMUSG00000108335	ENSMUST00000206407			Gm45215			processed_pseudogene
chr10-679	chr10	117168331	117168492	+	1	NA	Intergenic	Intergenic	23550	ENSMUST00000175888.2	ENSMUSG00000055531	ENSMUST00000176480			Cpsf6			protein_coding
chr7-896	chr7	24619218	24619386	+	1	NA	intron (ENSMUST00000206508.2, intron 14 of 28)	protein_coding-intron (ENSMUST00000047873.16, intron 14 of 28)	675	ENSMUST00000129928.2	ENSMUSG00000040940	ENSMUST00000127761			Arhgef1			protein_coding
chr5-701	chr5	90225117	90225285	+	1	NA	Intergenic	Intergenic	-54887	ENSMUST00000135410.2	ENSMUSG00000043618	ENSMUST00000135410			Eif5al3-ps			processed_pseudogene
chr16-386	chr16	94409960	94410128	+	1	NA	intron (ENSMUST00000155791.8, intron 1 of 5)	protein_coding-intron (ENSMUST00000023614.5, intron 1 of 11)	-11192	ENSMUST00000119372.2	ENSMUSG00000081692	ENSMUST00000119372			Gm15971			processed_pseudogene
chr15-522	chr15	103110890	103111058	+	1	NA	intron (ENSMUST00000122182.2, intron 4 of 5)	protein_coding-intron (ENSMUST00000108813.10, intron 3 of 4)	12758	ENSMUST00000122182.2	ENSMUSG00000009575	ENSMUST00000118152			Cbx5			protein_coding
chr5-806	chr5	107235409	107235577	+	1	NA	Intergenic	Intergenic	32444	ENSMUST00000243509.1	ENSMUSG00000106554	ENSMUST00000242071			Gm33474			lncRNA
chr12-551	chr12	32059689	32059857	+	1	NA	intron (ENSMUST00000146865.2, intron 2 of 10)	protein_coding-intron (ENSMUST00000003079.12, intron 2 of 11)	50815	ENSMUST00000146865.2	ENSMUSG00000002997	ENSMUST00000036497			Prkar2b			protein_coding
chr18-54	chr18	77909536	77909704	+	1	NA	intron (ENSMUST00000114741.4, intron 1 of 14)	protein_coding-intron (ENSMUST00000114741.4, intron 1 of 14)	-3471	ENSMUST00000243758.1	ENSMUSG00000120499	ENSMUST00000243758			Gm56498			lncRNA
chr15-913	chr15	85938498	85938666	+	1	NA	Intergenic	Intergenic	-3314	ENSMUST00000088931.10	ENSMUSG00000035900	ENSMUST00000147286			Gramd4			protein_coding
chr14-348	chr14	26381552	26381720	+	1	NA	exon (ENSMUST00000052932.10, exon 3 of 3)	protein_coding-exon (ENSMUST00000052932.10, exon 3 of 3)	7350	ENSMUST00000167376.2	ENSMUSG00000021877	ENSMUST00000171207			Arf4			protein_coding
chr15-808	chr15	3300690	3300858	+	1	NA	promoter-TSS (ENSMUST00000160930.3)	protein_coding-promoter-TSS (ENSMUST00000160930.3)	293	ENSMUST00000159247.2	ENSMUSG00000064373	ENSMUST00000159247			Selenop			protein_coding
chr17-798	chr17	47306063	47306231	+	1	NA	intron (ENSMUST00000225599.2, intron 2 of 28)	protein_coding-intron (ENSMUST00000113335.4, intron 2 of 46)	-2305	ENSMUST00020182665.1	ENSMUSG00002076750	ENSMUST00020182665			Gm55840			misc_RNA
chr7-498	chr7	125244715	125244883	+	1	NA	exon (ENSMUST00000055506.9, exon 33 of 37)	protein_coding-exon (ENSMUST00000055506.9, exon 33 of 37)	4350	ENSMUST00000206042.2	ENSMUSG00000032777	ENSMUST00000206183			Gtf3c1			protein_coding
chr10-111	chr10	8890352	8890520	+	1	NA	Intergenic	Intergenic	56783	ENSMUST00000216441.2	ENSMUSG00000111077	ENSMUST00000216441			Gm48743			TEC
chr1-1181	chr1	72226670	72226735	+	1	NA	intron (ENSMUST00000048860.9, intron 2 of 4)	protein_coding-intron (ENSMUST00000048860.9, intron 2 of 4)	24764	ENSMUST00000048860.9	ENSMUSG00000039395	ENSMUST00000048860			Mreg			protein_coding
chr3-381	chr3	37888823	37888991	+	1	NA	Intergenic	Intergenic	-3710	ENSMUST00000198394.2	ENSMUSG00000106621	ENSMUST00000198394			Gm42752			TEC
chr5-408	chr5	123198260	123198428	+	1	NA	Intergenic	Intergenic	-5961	ENSMUST00000119611.2	ENSMUSG00000080836	ENSMUST00000119611			Gm6444			processed_pseudogene
chr16-235	chr16	23892721	23892889	+	1	NA	Intergenic	Intergenic	8635	ENSMUST00000230580.2	ENSMUSG00000116437	ENSMUST00000230580			Gm46545			lncRNA
chr11-584	chr11	72124962	72125093	+	1	NA	Intergenic	Intergenic	-18609	ENSMUST00000021157.9	ENSMUSG00000020801	ENSMUST00000021157			Med31			protein_coding
chr5-560	chr5	36291282	36291450	+	1	NA	intron (ENSMUST00000137040.8, intron 3 of 7)	protein_coding-intron (ENSMUST00000037370.14, intron 3 of 26)	-69999	ENSMUST00000052224.6	ENSMUSG00000043430	ENSMUST00000052224			Psapl1			protein_coding
chr3-49	chr3	53135394	53135530	+	1	NA	intron (ENSMUST00000147139.2, intron 2 of 3)	protein_coding-intron (ENSMUST00000059562.14, intron 2 of 3)	-1284	ENSMUST00000196913.2	ENSMUSG00000048332	ENSMUST00000137954			Lhfpl6			protein_coding
chr12-388	chr12	54255337	54255505	+	1	NA	Intergenic	Intergenic	-4775	ENSMUST00000039516.4	ENSMUSG00000035105	ENSMUST00000039516			Egln3			protein_coding
chr15-245	chr15	58466607	58466752	+	1	NA	intron (ENSMUST00000161028.2, intron 19 of 40)	protein_coding-intron (ENSMUST00000161028.2, intron 19 of 40)	29216	ENSMUST00020181671.1	ENSMUSG00002075732	ENSMUST00020181671			Gm54392			misc_RNA
chr11-595	chr11	79832182	79832350	+	1	NA	intron (ENSMUST00000131921.2, intron 2 of 4)	protein_coding-intron (ENSMUST00000043152.6, intron 16 of 18)	824	ENSMUST00000131921.2	ENSMUSG00000035575	ENSMUST00000131921			Utp6			protein_coding
chr11-120	chr11	85942329	85942497	+	1	NA	Intergenic	Intergenic	101092	ENSMUST00000118790.2	ENSMUSG00000081632	ENSMUST00000118790			Gm11443			processed_pseudogene
chr11-975	chr11	112806900	112807068	+	1	NA	Intergenic	Intergenic	90979	ENSMUST00000153429.2	ENSMUSG00000020624	ENSMUST00000153429			4933434M16Rik			lncRNA
chr2-1501	chr2	65115857	65115993	+	1	NA	Intergenic	Intergenic	8164	ENSMUST00000118148.2	ENSMUSG00000083707	ENSMUST00000118148			Gm13592			processed_pseudogene
chr8-402	chr8	18712828	18712996	+	1	NA	intron (ENSMUST00000138744.2, intron 2 of 3)	protein_coding-intron (ENSMUST00000039412.15, intron 9 of 13)	-5907	ENSMUST00000164712.2	ENSMUSG00000090334	ENSMUST00000164712			Gm17149			processed_pseudogene
chr15-558	chr15	76345902	76345967	+	1	NA	intron (ENSMUST00000023217.11, intron 3 of 15)	protein_coding-intron (ENSMUST00000023217.11, intron 3 of 15)	4214	ENSMUST00000043089.9	ENSMUSG00000034161	ENSMUST00000229271			Scx			protein_coding
chr3-326	chr3	94896792	94896960	+	1	NA	intron (ENSMUST00000125476.8, intron 3 of 11)	protein_coding-intron (ENSMUST00000072287.12, intron 2 of 10)	7431	ENSMUST00000141787.2	ENSMUSG00000084846	ENSMUST00000141787			A730011C13Rik			lncRNA
chr4-981	chr4	35226123	35226291	+	1	NA	promoter-TSS (ENSMUST00000084724.10)	protein_coding-promoter-TSS (ENSMUST00000084724.10)	-32	ENSMUST00000156472.2	ENSMUSG00000028300	ENSMUST00000156472			C9orf72			protein_coding
chr1-1366	chr1	74288024	74288192	+	1	NA	intron (ENSMUST00000113820.9, intron 4 of 10)	protein_coding-intron (ENSMUST00000006467.14, intron 3 of 9)	12399	ENSMUST00000113819.2	ENSMUSG00000006304	ENSMUST00000113819			Arpc2			protein_coding
chr1-658	chr1	128344338	128344501	+	1	NA	intron (ENSMUST00000064309.9, intron 1 of 3)	protein_coding-intron (ENSMUST00000027602.15, intron 1 of 15)	677	ENSMUST00000027602.15	ENSMUSG00000026356	ENSMUST00000064309			Dars			protein_coding
chr17-31	chr17	16197745	16197913	+	1	NA	Intergenic	Intergenic	132287	ENSMUST00000231929.2	ENSMUSG00000116545	ENSMUST00000231929			Eif3s6-ps3			processed_pseudogene
chr13-269	chr13	47918460	47918628	+	1	NA	Intergenic	Intergenic	97518	ENSMUST00000223996.2	ENSMUSG00000114509	ENSMUST00000223996			4930471G24Rik			lncRNA
chr15-468	chr15	3342577	3342745	+	1	NA	Intergenic	Intergenic	-9653	ENSMUST00000165386.2	ENSMUSG00000091119	ENSMUST00000228405			Ccdc152			protein_coding
chr3-51	chr3	93476466	93476634	+	1	NA	Intergenic	Intergenic	8516	ENSMUST00000170612.2	ENSMUSG00000041959	ENSMUST00000170612			S100a10			protein_coding
chr1-1048	chr1	73223821	73223989	+	1	NA	Intergenic	Intergenic	24677	ENSMUST00000194107.2	ENSMUSG00000102266	ENSMUST00000194107			Gm38106			TEC
